Raga,Raga_Class,Melakarta,Aarohanam,Avarohanam
Sumanapriyā,Janyam,28,S R2 G3 M1 P D2 P S, S D2 S P M1 G3 R2 S
Suposhini,Janyam,28,S R2 S M1 P N2 D2 S, S D2 P M1 R2 M1 S
Suvarnakriyā,Janyam,28,S R2 G3 P N2 D2 S, S N2 P G3 R2 S
Swarāvali,Janyam,28,S M1 G3 M1 P N2 D2 N2 S, S N2 D2 P M1 G3 R2 S
Swaravedi,Janyam,28,S M1 G3 M1 P N2 D2 N2 S, S N2 D2 P M1 G3 S
Tilakavathi,Janyam,28,S R2 G3 M1 P D2 P S, S D2 P M1 R2 S
Thilang,Janyam,28,S G3 M1 P N3 S, S N2 P M1 G3 S
Umābharanam,Janyam,28,S R2 G3 M1 P D2 N2 S, S N2 P M1 R2 G3 M1 R2 S
Vaishnavi,Janyam,28,S R2 G3 M1 P D2 S, S D2 P M1 G3 R2 S
Veenavadini,Janyam,28,S R2 G3 P N2 S, S N2 P G2 R2 S
Vivardhani,Janyam,28,S R2 M P S, S N2 D2 P M1 G3 R2 S
Yadukula Kāmbhoji,Janyam,28,S R2 M1 P D2 S, S N2 D2 P M1 G3 R2 S
Dheera Shankarābharanam,Melakarta,29,S R2 G3 M1 P D2 N3 S, S N3 D2 P M1 G3 R2 S
Ānandharoopa,Janyam,29,S R2 G3 P D2 N3 S, S N3 D2 P G3 R2 S
Ārabi,Janyam,29,S R2 M1 P D2 S, S N3 D2 P M1 G3 R2 S
Ārabi,Janyam,29,S R2 M1 P D2 S, S D2 P M1 G3 R2 S
Atāna,Janyam,29,S R2 M1 P N3 S, S N3 D2 P M1 P G3 R2 S
Bangāla,Janyam,29,S R2 G3 M1 P M1 R2 P S, S N3 P M1 R2 G3 R2 S
Begada,Janyam,29,S G3 R2 G3 M1 P D2 N2 D2 P S, S N3 D2 P M1 G3 R2 S
Behāg,Janyam,29,S G3 M1 P N3 D2 N3 S, S N3 D2 P M1 G3 R2 S
Behāg Deshikam,Janyam,29,S R2 G3 M1 M2 P D2 N3 S, S N3 D2 P M2 M1 G3 R2 S
Bilahari,Janyam,29,S R2 G3 P D2 S, S N3 D2 P M1 G3 R2 S
Buddhamanohari,Janyam,29,S R2 G3 M1 S P S, S P M1 G3 R2 S
Buddharanjani,Janyam,29,S R2 G3 M1 P S, S N3 P M1 G3 M1 R2 S
Chāyā,Janyam,29,S P M1 P D2 P N3 R2 S, S D2 P M1 P D2 P G3 M1 R2 S
Chāyashankarābharanam,Janyam,29,S R1 M1 P D2 N3 S, S N3 D2 P M1 G3 R1 S
Devagāndhāri,Janyam,29,S R2 M1 P D2 S, S N3 D2 P M1 G3 R2 S
Dharmalakhi,Janyam,29,S M1 P D2 N3 S, S N3 D2 P M1 S
Dhurvanki,Janyam,29,S R2 M1 P D2 S, S N3 D2 P M1 G3 R2 S
Gajagowri,Janyam,29,S R2 M1 G3 M1 N3 P D2 S, S N3 D2 P M1 P M1 G3 R2 S
Garudadhvani,Janyam,29,S R2 G3 M1 P D2 N3 S, S D2 P G3 R2 S
Gowdamallār,Janyam,29,S R2 M1 P D2 S, S N3 M1 G3 R2 S
Hamsadhwani,Janyam,29,S R2 G3 P N3 S, S N3 P G3 R2 S
Hamsavinodhini,Janyam,29,S R2 G3 M1 D2 N3 S, S N3 D2 P M1 G3 R2 S
Hemant,Janyam,29,N3 S D2 N3 S G3 G3 M1 D2 N3 S, S N3 D2 P M1 G3 R2 S
Hindustāni Behāg,Janyam,29,S G3 M1 P N3 S, S N3 D2 P M1 G3 R2 S
Janaranjani,Janyam,29,S R2 G3 M1 P D2 N3 S, S D2 P M1 R2 S
Julavu,Janyam,29,P D2 N3 S R2 G3 M1 P, M1 G3 R2 S N3 D2 P M1
Kamaripriyā,Janyam,29,S G3 M1 D2 N3 S, S N3 D2 M1 M1 G3 M1 R2 S
Kannada,Janyam,29,S R2 G3 M1 P M1 D2 N3 S, S N3 S D2 P M1 G3 M1 G3 M1 R2 S
Kathanakuthoohalam,Janyam,29,S R2 M1 D2 N3 G3 P S, S N3 D2 P M1 G3 R2 S
Kedāram,Janyam,29,S M1 G3 M1 P N3 S, S N3 P M1 G3 R2 S
Kokilabhāshani,Janyam,29,S R2 G3 M1 P D2 N3 S, S N3 P M1 G3 M1 R2 S
Kolahalam,Janyam,29,S P M1 G3 M1 P D2 N3 S, S N3 D2 P M1 G3 R2 S
Kurinji,Janyam,29,S N3 S R2 G3 M1 P D2, D2 P M1 G3 R2 S N3 S
Kusumavichithra,Janyam,29,S G3 R2 G3 M1 P N3 P D2 N3 S, S D2 N3 D2 M1 G3 P M1 G3 R2 S
Kutuhala,Janyam,29,S R2 M1 N3 D2 P N3 S, S N3 D2 P M1 G3 R2 S
Lahari,Janyam,29,S R2 G3 P D2 S, S D2 P M1 G3 R2 S
Mānd,Janyam,29,S G3 M1 P D2 S, S N3 D2 P M1 G3 R2 S
Māyadravila,Janyam,29,S R2 G3 M1 P D2 N3 S, S N2 P M1 P G3 M1 R2 S
Mohanadhwani,Janyam,29,S R2 G3 P D2 S, S N3 P D2 P G3 R2 S
Nāgabhooshani,Janyam,29,S R2 M1 P D2 N3 S, S D2 P M1 R2 S
Nāgadhwani,Janyam,29,S R2 S M1 G3 M1 P N3 D2 N3 S, S N3 D2 N3 P M1 G3 S
Nārāyanadeshākshi,Janyam,29,S R2 M1 G3 R2 G3 M1 P D2 N3 S, S N3 D2 P M1 G3 R2 S
Navaroj,Janyam,29,P D2 N3 S R2 G3 M1 P, M1 G1 R3 S N2 D2 P
Neelāmbari,Janyam,29,S R2 G3 M1 P D2 P N3 S, S N3 P M1 G3 R2 G3 S
Niroshta,Janyam,29,S R2 G3 D2 N3 S, S N3 D2 G3 R2 S
Pahādi,Janyam,29,S R2 G3 P D2 P D2 S, N3 D2 P G3 M1 G3 R2 S N3 D2 P D2 S
Poornachandrikā,Janyam,29,S R2 G3 M1 P D2 P S, S N3 P M1 R2 G3 M1 R2 S
Poornagowla,Janyam,29,S R2 G3 M1 P N3 D2 N3 P D2 N3 S, S N3 D2 N3 P M1 G3 R2 S
Poorvagowla,Janyam,29,S G3 R2 G3 S R2 M1 P D2 N3 S, S N3 D2 P M1 G3 R2 S
Rathnabhooshani,Janyam,29,S R2 G3 M1 P S, S P M1 G3 R2 S
Reetuvilāsa,Janyam,29,S G3 M1 P D2 N3 S, S N3 D2 P M1 G3 S
Sāranga Mallār,Janyam,29,S R2 M1 P D2 N3 S, S N3 D2 P M1 R2 S N3 S
Shankara,Janyam,29,S G3 P S, S N3 D2 P G3 P R2 G3 S
Shankaraharigowla,Janyam,29,S R2 G3 M1 P D2 N3 S, S N2 D2 P M1 G3 R2 S
Shankaramohana,Janyam,29,S R2 G3 P N3 D2 S N3, S D2 P G3 R2 S
Shankari,Janyam,29,S G3 P N3 S, S N3 P G3 S
Sindhu,Janyam,29,S M1 P D2 S, S N3 D2 M1 P M1 G3 R2 S
Sindhu Mandāri,Janyam,29,S R2 G3 M1 P S, S N3 D2 P G3 M1 P M1 R2 S
Suddha Mālavi,Janyam,29,S R2 G3 M1 P N3 S, S D2 N3 P M1 G3 R2 S
Suddha Sārang,Janyam,29,S R2 G3 M1 P D2 N3 D2 S, S D2 P M1 R2 G3 R2 S
Suddha Sāveri,Janyam,29,S R2 M1 P D2 S, S D2 P M1 R2 S
Suddha Vasantha,Janyam,29,S R2 G3 M1 P N3 S, S N3 D2 N3 P M1 G3 S
Suranandini,Janyam,29,S R2 G3 P D2 N3 S, S N3 D2 P G3 R2 S
Suraranjani,Janyam,29,S G3 P R2 M1 D2 S, S N3 D2 P M1 G3 R2 S
Tāndavam,Janyam,29,S G3 P D2 N3 S, S N3 D2 P G3 S
Vallabhi,Janyam,29,S R2 G3 M1 P D2 N3 S, S N3 D2 N3 D2 P M1 P G3 M1 R2 S
Vasanthamalai,Janyam,29,S R2 M1 P N3 S, S D2 P M1 R2 S
Vedhāndhagamana,Janyam,29,S G3 M1 P N3 S, S N3 P M1 G3 S
Veerapratāpa,Janyam,29,S G3 M1 P D2 S, S N3 D2 P M1 G3 R2 S
Vilāsini,Janyam,29,S R2 G3 M1 P N3 S, S N3 P M1 G3 R2 S
Nāganandhini,Melakarta,30,S R2 G3 M1 P D3 N3 S, S N3 D3 P M1 G3 R2 S
Nāgabharanam,Janyam,30,S R2 G2 M1 P D3 N3 S, S N3 D3 P M1 G2 R2 S
Gambheeravani,Janyam,30,S G3 P M1 D3 N3 S, S N3 P M1 G3 R2 G3 R2 S
Lalithagāndharva,Janyam,30,S R2 G3 M1 P D3 N3 S, S N3 P G3 R2 S
Sāmanta,Janyam,30,S R2 G3 M1 P D3 N3 S, S N3 D3 N3 D3 P M1 G3 R2 S
Thilang,Janyam,30,S G3 M1 P N3 S, S N2 P M1 G3 S
Yāgapriyā,Melakarta,31,S R3 G3 M1 P D1 N1 S, S N1 D1 P M1 G3 R3 S
Kalāvathi,Janyam,31,S R3 G3 M1 P D1 N1 S, S N1 D1 P M1 G3 R3 S
Damarugapriya,Janyam,31,S R3 G3 P D1 N1 S, S N1 D1 P G3 R3 S
Desharanjani,Janyam,31,S R3 M1 P D1 N1 S, S N1 D1 P M1 R3 S
Deshyathodi,Janyam,31,S G2 M1 P D1 N2 S, S N2 D1 P M1 G2 R1 S
Gānavaridhi,Janyam,31,S M1 R3 G3 M1 P D2 N2/N3 S, S D2 N2/N3 P M1 R3 S
Kalāhamsa,Janyam,31,S R3 G3 M P D1 S, S N1 D1 P M1 G3 R3 S
Niranjani,Janyam,31,S R3 M1 D1 N1 S, S N1 D1 M1 R3 S
Prathāpahamsi,Janyam,31,S G3 M1 P N1 D1 N1 S, S N1 D1 P M1 G3 M1 R3 S
Rāgavardhani,Melakarta,32,S R3 G3 M1 P D1 N2 S, S N2 D1 P M1 G3 R3 S
Rāgachoodāmani,Janyam,32,S R3 G3 M1 P N2 S, S N2 D1 M1 R3 G3 S
Amudagāndhāri,Janyam,32,S G3 M1 P D1 N2 S, S N2 D1 P M1 G3 R3 S
Dhowmya,Janyam,32,S R3 G3 M1 P D1 N2 P S, S N2 D1 P M1 G3 R3 S
Ganavaridhi,Janyam,32,S M1 R3 G3 M1 P D2 N2/N3 S, S D2 N2/N3 P M1 R3 S
Hindoladarbār,Janyam,32,S G3 M1 P S, S N2 D1 P M1 R3 S
Ramyā,Janyam,32,S R3 G3 M1 P D1 N2 P S, S N2 D1 P M1 G3 R3 S
Sāmantajingala,Janyam,32,S R3 G3 M1 P D1 N2 S, S N2 P D1 N2 P M1 G3 M1 R3 G3 S
Gangeyabhushani,Melakarta,33,S R3 G3 M1 P D1 N3 S, S N3 D1 P M1 G3 R3 S
Gangātarangini,Janyam,33,S R3 G3 M1 P D1 N3 S, S N3 D1 P M1 M1 G3 M1 R3 S
Vāgadeeshwari,Melakarta,34,S R3 G3 M1 P D2 N2 S, S N2 D2 P M1 G3 R3 S
Bhogachāyā Nāttai,Janyam,34,S R3 G3 R3 G3 Mi P N2 N2 S, S N2 D2 N2 P S N2 P M1 M1 R3 S
Bhānumanjari,Janyam,34,S R3 G3 M1 P N2 S, S N2 P M1 R3 G3 R3 S
Chāyanāttai,Janyam,34,S R3 G3 M1 P M1 P S, S N2 D2 N2 P M1 R3 S
Maghathi,Janyam,34,S R3 M1 P D2 N2 S, S N2 D2 P M1 R3 S
Mohanāngi,Janyam,34,S R3 G3 P D2 S, S D2 P G3 P D2 P G3 R3 S
Murali,Janyam,34,S R3 G3 M1 D2 N2 S, S N2 D2 M1 G3 R3 S
Sharadabharana,Janyam,34,S M1 G3 M1 P M1 D2 N2 S, S N2 D2 M1 P M1 R3 S
Vikhavathi,Janyam,34,S R3 G3 P D2 S, S D2 P G3 R3 S
Shulini,Melakarta,35,S R3 G3 M1 P D2 N3 S, S N3 D2 P M1 G3 R3 S
Shailadeshākshhi,Janyam,35,S M1 G3 P D2 S, S N3 D2 S N3 P M1 G3 S
Dheerahindolam,Janyam,35,S G3 M1 D2 N3 S, S N3 D2 P M1 G3 R3 S
Shokavarāli,Janyam,35,S G3 D2 N3, D2 P M1 G3 R3 S
Chalanāttai,Melakarta,36,S R3 G3 M1 P D3 N3 S, S N3 D3 P M1 G3 R3 S
Devanāttai,Janyam,36,S G3 M1 P S, S N3 D3 P M1 G3 R3 S
Gambheeranāttai,Janyam,36,S G3 M1 P N3 S, S N3 P M1 G3 S
Ganaranjani,Janyam,36,S R3 G3 M1 P M1 D3 N3 S, S N3 D3 P M1 P M1 R3 S
Nāttai,Janyam,36,S R3 G3 M1 P D3 N3 S, S N3 P M1 R3 S
Sālagam,Melakarta,37,S R1 G1 M2 P D1 N1 S, S N1 D1 P M2 G1 R1 S
Sowgandhini,Janyam,37,S R1 M2 P D1 S, S N1 D1 P M2 G1 R1 S
Bhogasāveri,Janyam,37,S R1 M2 D1 N1, D1 P M2 G1 R1 S
Jalārnavam,Melakarta,38,S R1 G1 M2 P D1 N2 S, S N2 D1 P M2 G1 R1 S
Jaganmohinam,Janyam,38,S R1 G1 M2 P D1 N2 S, S N2 D1 P M2 G1 R1 S
Jaganmohana,Janyam,38,S R1 G1 M2 P D2 S, S N2 D1 P M2 G1 R1 S
Jhālavarāli,Melakarta,39,S R1 G1 M2 P D1 N3 S, S N3 D1 P M2 G1 R1 S
Dhālivarāli,Janyam,39,S R1 G1 M2 P D1 N3 S, S N3 D1 P M2 G1 R1 S
Bhoopālapanchamam,Janyam,39,S G1 R1 G1 P M2 D1 S, S P D1 M G1 R1 S
Godari,Janyam,39,S R1 G1 R1 M2 G1 M2 P D1 N3 S, S N3 D1 P M2 R1 S
Jālasugandhi,Janyam,39,S R1 G1 M2 P D1 S, S D1 P M2 G1 R1 S
Janāvali,Janyam,39,S G2 R1 G2 M2 P D1 N3 D1 S, S N3 D1 P M2 G2 R1 S
Karunāmritavarshini,Janyam,39,S R1 G1 M2 P D1 N3 P S, S N3 D1 M2 G1 R1 S
Kokilapanchamam,Janyam,39,S G1 R1 G1 P D1 N3 S, S N3 D1 P M2 G1 R1 S
Varāli,Janyam,39,S G1 R1 G1 M2 P D1 N3 S, S N3 D1 P M2 G1 R1 S
Navaneetham,Melakarta,40,S R1 G1 M2 P D2 N2 S, S N2 D2 P M2 G1 R1 S
Nabhomani,Janyam,40,S G1 R1 G1 M2 P S, S N2 D2 P M2 G1 R1 S
Pāvani,Melakarta,41,S R1 G1 M2 P D2 N3 S, S N3 D2 P M2 G1 R1 S
Kumbhini,Janyam,41,S G1 R1 G1 M2 P N3 D2 N3 S, S N3 D2 P M2 G1 R1 S
Chandrajyothi,Janyam,41,S R1 G1 M2 P D2 S, S D2 P M2 G1 R1 S
Prabhāvali,Janyam,41,S R1 M2 P D2 N3 S, S N3 D2 M2 P M2 R1 G1 R1 S
Poornalalitha,Janyam,41,S R1 M2 G1 R1 M2 P N3 D2 N3 S, S N3 D2 P M2 G1 R1 S
Poornapanchamam,Janyam,41,S R1 G1 M2 P D2, D2 P M2 G1 R1 S
Raghupriyaa,Melakarta,42,S R1 G1 M2 P D3 N3 S, S N3 D3 P M2 G1 R1 S
Ravi Kriyā,Janyam,42,S G1 R1 G1 M2 P D3 N3 S, S N3 P M2 G1 R1 S
Gāndharva,Janyam,42,M2 P D3 N3 S R1 G1, R1 S N3 P M2 P
Gomathi,Janyam,42,S R1 G1 M2 P D3 N3, P M2 G1 R1 S
Raghuleela,Janyam,42,S M2 R1 P M2 G1 M2 P M2 R1 M2 P N3 S, S N3 D3 N3 P M2 G1 M2 R1 M2 G1 R1 S
Ghavāmbhodi,Melakarta,43,S R1 G2 M2 P D1 N1 S, S N1 D1 P M2 G2 R1 S
Geervāni,Janyam,43,S R1 G2 M2 P D1 N1 S, S N1 D1 P M2 G2 R1 S
Kanchanabowli,Janyam,43,S G2 M2 P D1 S, S N1 D1 P M1 G2 R1 S
Mahathi,Janyam,43,S G2 M2 P D1 N1 S, S N1 D1 P M2 G2 S
Mechagāndhāri,Janyam,43,S R3 G3 M1 P D2 N2 S, S N2 D2 N2 P M1 G3 M1 R3 S
Suvarnadeepakam,Janyam,43,S R1 G2 M2 P D1 S, S D1 P M2 G2 R1 S
Vijayabhooshāvali,Janyam,43,S R1 G3 M2 P S, S N3 D3 P M2 G3 R1 S
Bhavapriya,Melakarta,44,S R1 G2 M2 P D1 N2 S, S N2 D1 P M2 G2 R1 S
Bhavāni,Janyam,44,S R1 G2 M2 P D1 P N2 S, S N2 D1 P M2 G2 R1 S
Kanchanāvathi,Janyam,44,S R1 G2 M2 P N2 S, S N2 P M2 G2 R1 S
Shubhapanthuvarāli,Melakarta,45,S R1 G2 M2 P D1 N3 S, S N3 D1 P M2 G2 R1 S
Shivapanthuvarāli,Janyam,45,S R1 G2 M2 P D1 N3 S, S N3 D1 P M2 G2 R1 S
Arunāngi,Janyam,45,S R1 M2 P N3 D1 S, S N3 D1 M2 R1 G2 R1 S
Bandhuvarāli,Janyam,45,S M2 S N3 D1 P M2, D1 M2 G2 R1 S
Bhānudhanyāsi,Janyam,45,S R1 G2 M2 N3 D1 N3, D1 P M2 G2 R1 S N3 S
Bhānukeeravāni,Janyam,45,S R1 G2 M2 P D1 N3 S, S N3 D1 M2 G2 R1 S
Chāyaranjani,Janyam,45,S G2 M2 P N2 S, S N2 D1 P M2 G2 S
Dhowreyani,Janyam,45,S R1 G2 M2 N3 S, S N3 D1 P M2 G2 R1 S
Hindusthāni Todi,Janyam,45,N3 R1 G2 M2 D1 N3 S, S N3 D1 P M2 G2 R1 S
Jālakesari,Janyam,45,S R1 M2 P D1 N3 S, S D1 P M2 R1 S
Kumudhachandrikā,Janyam,45,S G2 M2 D1 S, S N3 D1 M2 G2 R1 S
Mahānandhini,Janyam,45,S M2 G2 M2 P D1 N3 S, S D1 N3 D1 P M2 G2 R1 S
Parpathi,Janyam,45,S G2 M2 P N3 S, S N3 P M2 G2 S
Shekharachandrikā,Janyam,45,S R1 G2 M2 D1 N3 S, S N3 D1 M2 G2 R1 S
Shadvidhamārgini,Melakarta,46,S R1 G2 M2 P D2 N2 S, S N2 D2 P M2 G2 R1 S
Sthavarājam,Janyam,46,S R1 M2 P D2 S, S N2 D2 M2 G2 S
Ganahemāvati,Janyam,46,S G2 M2 P N2 S, S N2 D2 P M2 G2 S
Indhudhanyāsi,Janyam,46,S G2 M2 D2 N2 S, S N2 D2 P D2 M2 G2 R1 S
Shreekānti,Janyam,46,S G2 M2 P D2 N2 S, S N2 D2 P M2 G2 S
Teevravāhini,Janyam,46,S R1 G2 M2 P D2 P N2 S, S N2 D2 P M2 G2 R1 G2 M2 R1 S
Suvarnāngi,Melakarta,47,S R1 G2 M2 P D2 N3 S, S N3 D2 P M2 G2 R1 S
Sowveeram,Janyam,47,S R1 G2 M2 P D2 N3 S, S N3 D2 P M2 G2 R1 S
Abhiru,Janyam,47,S R1 G2 R1 M2 P N3 S, S D2 P M2 G2 R1 G2 S
Rathikā,Janyam,47,S M2 G2 M2 P D2 N3 S, S N3 D2 P M2 G2 R1 S
Vijayashree,Janyam,47,S R1 G2 M2 P N2 S, S N2 P M2 G2 R1 S
Divyamani,Melakarta,48,S R1 G2 M2 P D3 N3 S, S N3 D3 P M2 G2 R1 S
Jeevanthikā,Janyam,48,S M2 P D3 N3 S, S N3 P M2 G2 S
Deshamukhāri,Janyam,48,S R1 G2 M2 P D3 N3 D3 S, S D3 N3 D3 P M2 G2 R1 S
Dundubi,Janyam,48,S R1 G2 M2 P D3 N3 S, S N3 P M2 G2 R1 S
Jeevanthini,Janyam,48,S M2 P D3 N3 S, S N3 P M2 G2 S
Suddha Gāndhāri,Janyam,48,S R1 G2 M2 N3 S, S N3 D3 N3 S N3 P M2 R1 S
Dhavalāmbari,Melakarta,49,S R1 G3 M2 P D1 N1 S, S N1 D1 P M2 G3 R1 S
Dhavalāngam,Janyam,49,S R1 G3 M2 P D1 S, S N1 D1 P M2 G3 R1 S
Abhirāmam,Janyam,49,S R1 M2 P D1 N1 S, S N1 D1 P M2 G2 R1 S
Bhinnapauarali,Janyam,49,S M2 P D1 N1 D1 S, S N1 D1 P M2 G3 S
Dharmini,Janyam,49,S R1 G3 M2 D1 N1 S, S N1 D1 M2 G3 R1 S
Sudharmini,Janyam,49,S R1 M2 P D1 N1 S, S N1 D1 M1 G3 R2 S
Nāmanārāyani,Melakarta,50,S R1 G3 M2 P D1 N2 S, S N2 D1 P M2 G3 R1 S
Nāmadeshi,Janyam,50,S R1 G3 M2 P D1 N2 S, S N2 D1 P M2 G3 R1 S
Mandāri,Janyam,50,S R1 G3 M2 P N2 S, S N2 P M2 G3 R1 S
Narmada,Janyam,50,S R1 G3 M2 D1 N2 S, S N2 D1 M2 P M2 G3 R1 S
Swaramanjari,Janyam,50,S G3 M2 P D1 S, S N2 D1 P M2 G3 S
Panthuvarāli (Kāmavardhani),Melakarta,51,S R1 G3 M2 P D1 N3 S, S N3 D1 P M2 G3 R1 S
Kāshirāmakriyā,Janyam,51,S G3 R1 G3 M2 P D1 N3 S, S N3 D1 P M1 G3 R1 S
ādhi Panchama,Janyam,51,S R1 P D1 N3 S, S N3 D1 N3 P M2 G3 R1 S
Basant Bahār,Janyam,51,S M2 P G3 M2 N3 D1 N3 S, R2 S N2 D2 P M1 G2 M1 G2 R2 S
Bhogavasantha,Janyam,51,S R1 G3 M2 D1 N3 S, S N3 D1 M2 G3 R1 S
Deepakam,Janyam,51,S R2 M2 P D1 P S, S N3 D1 N3 P M2 G3 R1 S
Gamakapriyā,Janyam,51,S R1 G3 M2 P N3 D1 S, S D1 P M2 G3 R1 S
Gamanapriyā,Janyam,51,S R1 G3 M2 P N3 D1 S, S D1 P M2 G3 R1 S
Hamsanārāyani,Janyam,51,S R1 G3 M2 P S, S N3 P M2 G3 R1 S
Indumathi,Janyam,51,S G3 M2 D1 N3 S, S N3 D1 P M2 G3 S
Kamalāptapriyā,Janyam,51,S R1 G3 M2 P D1 S, S D1 P M2 G3 R1 S
Kumudhakriyā,Janyam,51,S R1 G3 M2 D1 S, S N3 D1 M2 G3 R1 S
Māruthi,Janyam,51,S R1 M2 P N3 S, S N3 D1 P M2 G3 R1 S
Ponni,Janyam,51,S G3 M2 P N3 S, S N3 P M2 G3 R1 S
Prathāpa,Janyam,51,S G3 M2 D1 N3 S, S N3 D P M2 G3 R1 S
Puriya Dhanashree,Janyam,51,N3 R1 G3 M2 P D1 P N3 S, R1 N3 D1 P M2 G3 M2 R1 G3 R1 S
Tāndavapriyā,Janyam,51,S R1 G3 M2 P S, S P M2 G3 R1 S
Rāmapriyā,Melakarta,52,S R1 G3 M2 P D2 N2 S, S N2 D2 P M2 G3 R1 S
Ramāmanohari,Janyam,52,S R1 G3 M2 P D2 S, S N2 D2 P M2 G3 R1 S
Chintaramani,Janyam,52,S G3 M2 P D2 N2 S, S D2 P M2 G3 R1 S
Hamsagamini,Janyam,52,S G3 M2 P D2 N2 S, S N2 D2 P M2 D2 P M2 G3 R1 S
Lokaranjani,Janyam,52,S G3 M2 P M2 D2 N2 S, S N2 D2 N2 P M2 G3 R1 S
Meghashyāmala,Janyam,52,S G3 M2 P D2 N2 D2 P S, S N2 D2 P M2 G3 R1 S
Patalāmbari,Janyam,52,S R1 G3 M2 D2 S, S D2 M2 G3 R1 S
Raktimārgini,Janyam,52,S P M2 D2 N2 S, S N2 D2 P M2 P G3 R1 S
Rasavinodini,Janyam,52,S G3 M2 P D2 N2 S, S N2 D2 P M2 G3 S
Reethi Chandrikā,Janyam,52,S R1 G3 M2 P D2 S, S N2 D2 P M2 G3 R1 S
Seemantinipriyā,Janyam,52,S R1 G3 M2 D2 N2 S, S N2 D2 M2 G3 R1 S
Sukhakari,Janyam,52,S R1 S P D2 N2 S, S N2 D2 P M2 G3 S R1 S
Vedhaswaroopi,Janyam,52,S R1 G3 M2 P D2 N3 P S, S N3 D2 Pn3 P M2 G3 S
Gamanashrama,Melakarta,53,S R1 G3 M2 P D2 N3 S, S N3 D2 P M2 G3 R1 S
Gamakakriyā,Janyam,53,S R1 G3 M2 P D2 S, S N3 D2 P M2 G3 R1 S
Alankāri,Janyam,53,S G3 M2 D2 N3 D2 S, S N3 D2 M2 G3 S
Bhatiyār,Janyam,53,S D2 P D2 M2 P G3 M2 D2 S, R1 N3 D2 P M2 P G3 R1 S
Dvigāndhārabhooshani,Janyam,53,S R1 G2 G3 G2 P D2 S, S D2 P G2 G3 G2 R1 S D2 S
Hamsānandi,Janyam,53,S R1 G3 M2 D2 N3 S, S N3 D2 M2 G3 R1 S
Mechakāngi,Janyam,53,S R1 G3 M2 P D2 P N3 S, S N3 P D2 P M2 G3 R1 S
Padmakalyāni,Janyam,53,S G3 P N3 S, S N3 D2 P M2 G3 S
Poorvi Kalyāni,Janyam,53,S R1 G3 M2 P D2 P S, S N3 D2 P M2 G3 R1 S
Sharabadhvāja,Janyam,53,S R1 G3 M2 P D2 S, S D2 P G3 R1 S
Sohini,Janyam,53,S G3 M2 D2 N3 S, S N3 D2 M2 G3 R1 S
Vaishaka,Janyam,53,S R1 G3 M2 P D2 N3 S, S N3 D2 N3 P M2 G3 M2 R1 S
Vishvāmbhari,Melakarta,54,S R1 G3 M2 P D3 N3 S, S N3 D3 P M2 G3 R1 S
Vamshavathi,Janyam,54,S R1 G3 M2 P D3 N3 S, S N3 P M2 G3 R1 S
Hemāngi,Janyam,54,S R1 G3 M2 D3 S, S D3 M2 G3 R1 S
Pooshakalyāni,Janyam,54,S R1 G3 M2 P D3 N3 S, S N3 P M2 G3 R1 S
Sharadhyuthi,Janyam,54,S R1 G3 M2 P D3 N3 D3 S, S N3 D3 P M2 G3 R1 S
Suddhakriyā,Janyam,54,S R1 M2 M2 P D3 S, S D3 P M2 G3 R1 S
Sundarāngi,Janyam,54,S R1 G3 P D3 N3 S, S N3 D3 P G3 R1 S
Vijayavasantham,Janyam,54,S M2 P D3 N3 S, S N3 P M2 G3 S
Shyāmalāngi,Melakarta,55,S R2 G2 M2 P D1 N1 S, S N1 D1 P M2 G2 R2 S
Shyāmalam,Janyam,55,S R2 G2 M2 P D1 N1 S, S N1 D1 P M2 G2 R2 S
Deshāvali,Janyam,55,S R2 G2 M2 D1 N1 D1 S, S N1 D1 M2 G2 R2 S
Vijayamālavi,Janyam,55,S R2 M2 P D1 S, S N1 D1 P M2 R2 S
Shanmukhapriyaa,Melakarta,56,S R2 G2 M2 P D1 N2 S, S N2 D1 P M2 G2 R2 S
Chāmaram,Janyam,56,S R2 G2 M2 P D1 N2 S, S N2 D1 P M2 G2 R2 S
Bhāshini,Janyam,56,S G2 R2 G2 M2 P D1 N2 S, S N2 D1 P M2 G2 R1 S
Chintāmani,Janyam,56,S G2 R2 G2 M2 G2 R2 G2 P M2 P D2 N2 S, S N2 D2 P M2 G2 R2 S
Dhanakari,Janyam,56,S G2 P D1 N2 S, S N2 D1 M2 G2 S
Garigadya,Janyam,56,N2 S G2 M2 P D1 N2, D1 P M2 G2 R2 S
Gopikathilakam,Janyam,56,S R2 G2 M2 P N2 S, S N2 P M2 G2 R2 S
Kokilanandhi,Janyam,56,S G2 M2 D1 N2 S, S N2 D1 P M2 G2 S
Rājeshwari,Janyam,56,S R2 G2 P N2 S, S N2 D1 P M1 G2 S
Samudrapriyā,Janyam,56,S G2 M2 P N2 S, S N2 P M2 G2 S
Shanmukhi (Trimoorti),Janyam,56,S R1 G2 M2 D1 N2 S, S N2 D1 M2 G2 R1 S
Sumanesharanjani,Janyam,56,S G2 M2 P N2 S, S N2 P M2 G2 S
Vasukari,Janyam,56,S G2 M2 P D1 N2 S, S N2 D1 M2 G2 S
Simhendra Madhyamam,Melakarta,57,S R2 G2 M2 P D1 N3 S, S N3 D1 P M2 G2 R2 S
