Raga,Raga_Class,Melakarta,Aarohanam,Avarohanam
Kowmāri,Janyam,11,S R1 G2 M1 P D2 S, S N3 D2 P M1 G2 R1 S
Shuddha Lalitha,Janyam,11,S P M1 D2 N3 S, S N3 S D2 P M1 G2 R1 S
Vardhani,Janyam,11,S G2 M1 P M1 P D2 N3 S, S N3 D2 P M1 G2 R1 S
Vasantamalli,Janyam,11,S G2 M1 P N3 S, S D2 P M1 G2 S
Vasantanārāyani,Janyam,11,S R1 G2 M1 P S, S N3 D2 P M1 G2 R1 S
Rupavati,Melakarta,12,S R1 G2 M1 P D3 N3 S, S N3 D3 P M1 G2 R1 S
Rowpyanaka,Janyam,12,S M1 P D3 N3 S, S N3 P M1 G2 R1 S
Shyāmakalyāni,Janyam,12,S M1 G2 M1 P D3 N3 S, S N3 P D3 N3 P M1 G2 R1 S
Gāyakapriya,Melakarta,13,S R1 G3 M1 P D1 N1 S, S N1 D1 P M1 G3 R1 S
Geya Hejjajji,Janyam,13,S R1 M1 G3 M1 P D1 S, S N3 D1 P M1 G3 R1 S
Hejjajji,Janyam,13,S R1 G3 M1 P D1 S, S N1 D1 P M1 G3 R1 S
Kalākānti,Janyam,13,S R1 G3 M1 D1 N1 S, S N1 D1 P G3 R1 S
Kalkada,Janyam,13,S R1 G3 P D1 N1 S, S N1 D1 P M1 G3 R1 S
Kalpanadhārini,Janyam,13,S G3 M1 P D1 S, S N1 D1 P M1 G3 R1 S
Vakulābharanam,Melakarta,14,S R1 G3 M1 P D1 N2 S, S N2 D1 P M1 G3 R1 S
Vātee Vasantabhairavi,Janyam,14,S R1 G3 M1 D1 N2 S, S N2 D1 M1 G3 R1 S
Āhiri,Janyam,14,S R1 S G3 M1 P D1 N2 S, S N2 D1 P M1 G3 R1 S
Amudhasurabhi,Janyam,14,S M1 G3 M1 P D1 S, S N2 D1 P M1 R1 S
Devipriya,Janyam,14,S G3 P N2 S, S N2 D1 P M1 G3 R1 S
Kalindaja,Janyam,14,S R1 G3 M1 P N2 S, S N2 P M1 G3 R1 S
Kuvalayabharanam,Janyam,14,S R1 G3 M1 D1 N1 S, S N1 D1 M1 G3 R1 S
Sallapa,Janyam,14,S G3 M1 D1 N2 S, S N2 D1 M1 G3 S
Surya,Janyam,14,S G3 M1 D1 N2 S, S N2 D1 M1 G3 S
Soma,Janyam,14,S R1 P M1 D1 N2 S, S N2 D1 M1 P M1 G3 R1 S
Shuddha Kāmbhoji,Janyam,14,S G3 R1 M1 P N2 S, S N2 P M1 G3 R1 S
Vasantabhairavi,Janyam,14,S R1 G3 M1 D1 N2 S, S N2 D1 M1 G3 R1 S
Vasanta Mukhāri,Janyam,14,S M1 G3 M1 P D1 N2 S, S N2 D1 P M1 G3 R1 S
Vijayollāsini,Janyam,14,S R1 G3 M1 P M1 D1 N2 S, S N2 D1 P M1 G3 R1 S
Māyamālava Gowla,Melakarta,15,S R1 G3 M1 P D1 N3 S, S N3 D1 P M1 G3 R1 S
Ardhradesi,Janyam,15,S R1 G3 M1 P D1 N3 S, S D1 P M1 G3 R1 S
Bhāvini,Janyam,15,S G3 M1 P D1 N3 S, S N3 D1 P M1 G3 S
Bibhās,Janyam,15,S R1 G3 P D1 S, S D1 P M1 R1 S
Bowli,Janyam,15,S R1 G3 P D1 S, S N3 D1 P G3 R1 S
Bowli Rāmakriya,Janyam,15,S R1 G3 P D1 S, S N3 P D1 P M1 G3 R1 S
Chāruvardhani,Janyam,15,S R1 M1 P D1 N3 S, S D1 P M1 G3 R1 S
Chāyagowla,Janyam,15,S R1 M1 G3 M1 P N3 S, S N3 D1 P M1 G3 R1 S
Chandrachooda,Janyam,15,S M1 G3 M1 P D1 S, S N3 D1 P M1 G3 S
Deshyagowla,Janyam,15,S R1 P D1 N3 S, S N3 D1 P R1 S
Devaranji,Janyam,15,S M1 P D1 P N3 S, S N3 D1 P M1 S
Ekakshari,Janyam,15,S R1 G3 M1 P D1 N3 S, S N1 P M1 R1 G3 M1 R1 S
Ghanasindhu,Janyam,15,S M1 G3 M1 P D1 N3 D1 S, S N3 D1 P M1 G3 R1 S
Gowla,Janyam,15,S R1 M1 P N3 S, S N3 P M1 R1 G3 M1 R1 S
Gowlipantu,Janyam,15,S R1 M1 P N3 S, S N3 D1 P M1 D1 M1 G3 R1 S
Gowri,Janyam,15,S R1 M1 P N3 S, S N3 D1 P M1 G3 R1 S
